"id","permission_id","view_menu_id"
1,1,1
2,2,5
3,3,5
4,2,6
5,3,6
6,2,7
7,3,7
8,4,9
9,5,9
10,6,9
11,7,9
12,8,9
13,9,9
14,10,9
15,11,9
16,12,9
17,13,9
18,14,10
19,14,11
20,4,12
21,5,12
22,6,12
23,7,12
24,9,12
25,10,12
26,15,12
27,14,13
28,16,14
29,14,15
30,9,16
31,14,17
32,9,18
33,14,19
34,9,20
35,14,21
36,17,22
37,18,23
38,1,24
39,4,25
40,5,25
41,6,25
42,7,25
43,9,25
44,10,25
45,14,26
46,14,27
47,4,28
48,5,28
49,6,28
50,7,28
51,9,28
52,10,28
53,14,29
54,4,30
55,5,30
56,6,30
57,7,30
58,9,30
59,10,30
60,14,31
61,4,32
62,5,32
63,6,32
64,7,32
65,9,32
66,10,32
67,14,33
68,14,34
69,4,35
70,5,35
71,6,35
72,7,35
73,9,35
74,10,35
75,14,36
76,4,37
77,5,37
78,6,37
79,7,37
80,9,37
81,10,37
82,14,38
83,4,39
84,5,39
85,6,39
86,7,39
87,9,39
88,10,39
89,14,40
90,14,41
91,4,42
92,5,42
93,6,42
94,7,42
95,9,42
96,10,42
97,14,43
98,4,44
99,5,44
100,6,44
101,7,44
102,9,44
103,10,44
104,14,45
105,4,46
106,5,46
107,6,46
108,7,46
109,9,46
110,10,46
111,14,47
112,4,48
113,5,48
114,6,48
115,7,48
116,9,48
117,10,48
118,14,49
119,4,50
120,5,50
121,6,50
122,7,50
123,9,50
124,10,50
125,14,51
126,4,52
127,5,52
128,6,52
129,7,52
130,9,52
131,10,52
132,14,53
133,14,54
134,4,55
135,5,55
136,6,55
137,7,55
138,9,55
139,10,55
140,4,56
141,5,56
142,6,56
143,7,56
144,9,56
145,10,56
146,4,57
147,5,57
148,6,57
149,7,57
150,9,57
151,10,57
152,14,58
153,9,61
155,10,61
156,6,61
157,14,63
159,6,64
160,10,64
161,7,64
162,5,64
163,4,64
164,9,64
165,14,65
166,14,66
167,14,67
209,1,86
169,19,69
210,5,87
171,14,70
172,20,71
211,9,87
174,14,73
175,1,43
176,21,74
212,4,87
178,22,75
213,6,87
180,14,76
181,1,77
214,7,87
183,1,78
184,9,79
185,7,79
186,10,79
187,4,79
188,6,79
189,5,79
190,14,80
191,9,81
194,10,81
196,4,81
215,10,87
216,14,88
217,5,89
218,9,89
219,4,89
220,6,89
221,7,89
222,10,89
234,18,93
226,5,91
230,4,91
238,1,96
233,14,92
257,18,102
250,6,100
256,14,101
263,7,104
265,9,104
267,4,106
270,6,106
272,7,106
273,9,106
193,7,81
195,5,81
197,6,81
198,14,83
199,7,84
224,14,90
201,10,84
202,6,84
203,9,84
204,4,84
205,5,84
227,7,91
207,14,85
228,9,91
229,10,91
231,6,91
236,1,94
237,14,95
259,4,104
240,14,97
241,7,98
242,5,98
243,6,98
244,10,98
245,9,98
246,4,98
247,14,99
249,7,100
251,5,100
252,10,100
253,9,100
254,4,100
260,5,104
261,6,104
264,10,104
266,14,105
269,5,106
271,10,106
274,14,107
275,18,110
276,6,86
277,5,111
278,6,111
279,7,111
280,4,111
281,10,111
282,9,111
283,14,112
284,23,50
285,24,50
286,25,50
287,23,64
288,24,64
289,25,64
290,9,113
291,5,113
292,7,113
293,6,113
294,10,113
295,4,113
296,14,115
304,26,116
298,23,55
299,24,55
300,25,55
301,23,56
302,24,56
303,25,56
305,14,117
307,27,57
308,6,119
309,7,119
310,5,119
311,9,119
312,4,119
313,10,119
325,9,124
315,14,120
316,6,121
326,5,124
318,5,121
319,7,121
320,9,121
321,4,121
322,10,121
323,14,123
327,4,124
328,6,124
329,10,124
330,7,124
335,29,50
332,28,125
333,14,126
336,29,64
337,29,55
340,18,128
339,29,56
341,9,129
342,10,129
343,30,130
344,NULL,130
345,14,131
347,7,133
348,6,133
349,10,133
350,5,133
351,4,133
352,9,133
353,14,134
354,7,135
355,6,135
356,5,135
357,10,135
358,9,135
359,4,135
360,14,137
