"id","permission_view_id","role_id"
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,1
134,134,1
135,135,1
136,136,1
137,137,1
138,138,1
139,139,1
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
171,153,1
172,155,1
173,156,1
174,1,4
175,4,4
176,5,4
177,12,4
178,13,4
179,14,4
180,15,4
336,38,4
337,234,1
183,36,4
184,37,4
338,236,1
340,237,1
342,238,1
343,240,1
353,250,1
366,257,1
370,263,1
361,166,4
193,90,4
194,91,4
195,92,4
196,93,4
197,94,4
198,95,4
199,96,4
200,97,4
201,98,4
362,234,4
363,238,4
367,259,1
368,260,1
369,261,1
345,241,1
346,242,1
347,243,1
348,244,1
349,245,1
350,246,1
351,247,1
352,249,1
215,112,4
216,113,4
217,114,4
218,115,4
219,116,4
220,117,4
221,118,4
222,119,4
223,120,4
224,121,4
225,122,4
226,123,4
227,124,4
228,125,4
229,157,1
230,159,1
231,160,1
232,161,1
233,162,1
234,163,1
235,164,1
237,165,1
240,159,4
241,160,4
242,161,4
243,162,4
244,163,4
245,164,4
246,165,4
247,166,1
294,209,1
249,167,1
250,169,1
251,171,1
252,172,1
253,174,1
254,175,1
255,175,4
256,176,1
257,178,1
258,180,1
295,210,1
260,167,4
261,169,4
262,171,4
263,181,1
264,183,1
296,211,1
266,184,1
267,185,1
268,186,1
269,187,1
270,188,1
271,189,1
297,212,1
273,190,1
298,213,1
275,191,1
276,193,1
277,194,1
278,195,1
279,197,1
280,196,1
299,214,1
282,198,1
300,215,1
284,181,4
285,183,4
286,199,1
287,201,1
288,202,1
289,203,1
290,204,1
301,216,1
292,205,1
293,207,1
302,217,1
303,218,1
304,219,1
305,220,1
306,221,1
307,222,1
308,224,1
309,227,1
310,228,1
311,226,1
312,229,1
313,230,1
314,231,1
315,233,1
317,209,4
354,251,1
355,252,1
357,253,1
358,254,1
359,256,1
364,237,4
365,240,4
371,264,1
372,265,1
374,266,1
375,267,1
330,87,4
331,88,4
332,89,4
333,211,4
334,215,4
335,216,4
376,269,1
377,270,1
379,271,1
380,272,1
381,273,1
383,274,1
384,275,1
751,275,4
386,276,1
387,277,1
388,278,1
389,279,1
390,280,1
391,281,1
392,282,1
393,283,1
394,284,1
395,285,1
396,286,1
397,287,1
398,288,1
399,289,1
400,290,1
401,291,1
402,292,1
403,293,1
404,294,1
405,295,1
752,275,7
407,296,1
408,298,1
409,299,1
410,300,1
411,302,1
412,303,1
413,301,1
753,181,7
415,1,2
416,284,5
417,286,5
418,287,5
419,289,5
420,298,5
421,300,5
422,301,5
423,303,5
424,83,6
425,91,6
426,98,6
427,112,6
428,114,6
429,119,6
430,159,6
431,163,6
432,169,6
433,212,6
434,213,6
435,1,6
436,72,6
437,84,6
438,85,6
439,86,6
440,92,6
441,93,6
442,94,6
443,113,6
444,115,6
445,120,6
446,121,6
447,122,6
448,161,6
449,162,6
450,210,6
451,214,6
754,183,7
761,181,9
762,183,9
763,257,9
764,275,9
765,257,6
766,257,7
771,157,8
774,210,8
775,212,8
776,214,8
777,283,8
778,1,10
779,90,10
780,123,10
781,124,10
782,125,10
783,130,10
784,131,10
785,132,10
786,133,10
787,138,10
788,139,10
789,144,10
790,145,10
