"id","user_id","role_id"
127,65,7
128,85,9
142,82,1
130,89,4
449,253,2
132,90,9
136,61,2
173,94,2
247,126,2
184,110,2
185,96,2
233,123,2
450,253,9
153,98,8
189,103,5
170,106,8
190,102,5
175,93,7
157,100,8
180,111,4
181,112,4
161,102,1
1,1,1
3,3,1
326,83,2
248,128,2
327,75,2
17,12,4
18,11,4
78,11,1
20,6,4
79,17,1
428,4,12
26,13,4
368,183,2
30,16,4
81,54,4
83,55,1
35,18,4
86,10,1
37,10,4
38,19,2
39,20,2
40,20,4
405,237,2
88,57,4
89,60,5
90,60,6
91,58,5
92,58,6
93,59,5
94,59,6
95,80,5
96,80,6
97,67,1
98,67,5
99,62,1
292,115,9
191,115,2
102,82,5
163,103,1
334,173,2
105,86,2
106,68,7
108,70,7
109,71,8
111,73,7
486,135,12
114,76,2
115,77,7
204,118,8
117,79,7
118,81,7
336,174,2
120,84,8
186,97,2
123,17,5
355,166,2
328,87,2
356,164,2
165,104,4
183,113,4
167,105,4
192,115,4
193,116,2
196,78,2
208,120,4
197,101,2
198,92,2
503,280,4
268,145,2
252,139,9
228,122,10
269,102,2
231,131,7
258,142,7
240,19,1
504,171,2
260,145,1
273,95,2
338,175,2
255,141,7
237,134,2
360,177,2
249,124,2
243,137,4
361,177,1
416,240,2
250,121,2
256,140,7
362,178,2
263,147,4
294,137,12
370,197,2
266,149,4
267,127,2
283,62,5
293,146,2
339,173,8
295,113,12
296,54,12
297,8,12
329,66,2
365,178,13
301,165,8
330,125,2
366,178,12
307,168,7
312,14,1
357,151,2
331,132,2
318,170,2
389,205,2
332,158,2
333,156,2
343,3,15
429,4,14
345,14,15
358,154,2
367,178,4
372,198,2
373,199,2
374,200,2
375,200,4
376,200,12
379,178,16
380,202,2
382,203,4
384,170,15
385,177,15
387,170,14
388,204,2
391,205,4
392,206,2
436,153,2
437,167,2
438,133,2
439,152,2
440,176,2
441,15,2
442,91,2
443,169,2
444,250,12
446,10,12
448,115,12
393,206,8
395,235,2
396,235,8
397,236,2
407,238,2
408,239,2
505,282,2
403,21,2
404,90,6
435,155,2
411,8,2
412,8,4
445,111,12
414,54,17
415,115,17
419,241,2
421,250,2
422,250,4
423,4,2
424,4,4
425,115,14
426,10,14
427,54,14
447,203,12
431,17,14
432,3,14
433,16,12
451,254,2
452,255,2
453,256,2
454,257,2
457,257,7
458,198,7
459,258,2
464,261,2
462,260,2
463,260,8
465,262,2
469,264,2
475,267,2
472,265,4
474,266,4
476,267,4
477,270,2
478,271,2
479,135,4
480,272,2
481,272,4
482,272,12
483,272,13
484,272,16
488,115,1
489,274,2
491,99,2
492,275,2
493,275,8
494,276,2
496,277,2
497,278,2
506,279,2
507,199,1
508,117,2
510,286,4
512,119,2
513,288,2
515,282,9
516,289,2
518,290,2
519,136,8
520,290,4
521,291,2
522,292,2
523,300,2
525,292,4
526,291,8
527,312,2
529,314,2
532,313,2
534,313,4
535,312,4
536,314,4
537,178,15
538,300,4
539,55,5
540,55,14
541,74,2
542,69,2
543,64,2
544,259,2
545,107,2
546,350,2
547,350,4
549,351,2
550,351,7
551,352,2
552,352,7
554,353,1
555,353,4
556,72,2
557,72,7
558,88,2
559,88,7
560,354,2
562,5,1
563,5,5
564,201,19
566,355,4
569,363,2
570,363,7
571,364,2
572,365,2
573,129,2
574,366,2
575,366,7
576,365,7
578,367,4
579,364,7
580,368,2
581,369,2
582,370,2
583,370,7
585,371,4
586,373,2
587,241,8
588,373,8
591,374,9
592,375,9
593,376,2
594,376,7
596,385,2
597,385,4
599,274,9
600,390,2
601,391,2
602,390,7
603,391,7
