"id","name"
108,"MultiContratosAuthLDAPView"
116,"DashboardProdutividadeView"
110,"CargoUsuarios"
111,"AnexosModelView"
112,"Anexos de projetos"
113,"AjusteModelView"
117,"Produtividade"
115,"Ajuste de Contrato"
1,"KanbanView"
118,"ProdutosGeinov"
2,"UtilView"
119,"RenovacaoModelView"
120,"Renovação de Contrato"
121,"ReajusteModelView"
124,"GanttChartView"
123,"Reajuste de Contrato"
125,"DashboardProjetosView"
126,"Gestão de Projetos"
128,"TarefasRecentes"
129,"SubTarefa"
3,"LocaleView"
4,"SecurityApi"
5,"ResetPasswordView"
6,"ResetMyPasswordView"
7,"UserInfoEditView"
8,"AuthDBView"
9,"UsuarioDBModelView"
10,"List Users"
11,"Security"
12,"RoleModelView"
13,"List Roles"
14,"UserStatsChartView"
15,"User's Statistics"
16,"PermissionModelView"
17,"Base Permissions"
18,"ViewMenuModelView"
19,"Views/Menus"
20,"PermissionViewModelView"
21,"Permission on Views/Menus"
22,"MenuApi"
23,"UsuarioRegras"
24,"StatusTarefa"
25,"CoordenacaoModelView"
26,"Coordenações"
27,"Estrutura"
28,"CargoModelView"
29,"Cargos"
30,"NivelModelView"
31,"Níveis"
32,"ComplexidadeModelView"
33,"Complexidades"
34,"Catálogo de Serviços"
35,"ServicoModelView"
36,"Servicos"
37,"RegraModelView"
38,"Regras"
39,"ProjetoModelView"
40,"Projetos"
41,"Atividades"
42,"SprintModelView"
43,"Sprints"
44,"StatusModelView"
45,"Status"
46,"EtiquetaModelView"
47,"Etiquetas"
48,"ComentarioModelView"
49,"Comentarios"
50,"TarefaModelView"
51,"Tarefas"
52,"FatorComplexidadeUSTModelView"
53,"Fator de Complexidade e UST"
54,"Faturamento"
55,"TarefaFaturadaOSModelView"
56,"TarefaFaturadaRelatorioModelView"
57,"FaturaModelView"
58,"Faturas"
59,"AuthLDAPView"
61,"RegisterUserModelView"
63,"Todas as tarefas"
64,"MinhasTarefaModelView"
65,"Minhas tarefas"
66,"Kanban"
67,"Dashboards"
86,"Upload"
69,"DashboardAtividadesView"
70,"Atividades e Horas"
71,"DashboardRegraPerfilView"
87,"ProdutoModelView"
73,"Regra vs Perfil"
74,"DashboardFaturamentoView"
75,"DashboardSimulacaoFaturaView"
76,"Simulação Fatura"
77,"PontuacaoCenario"
78,"ComplexidadePontuacao"
79,"RequisitoModelView"
80,"Requisitos"
81,"CenarioModelView"
88,"Produtos"
83,"Cenarios de Requisitos"
84,"ContratoModelView"
85,"Contrato"
89,"TecnologiaModelView"
90,"Tecnologia"
91,"OrigemModelView"
92,"Origem de Dados"
93,"ProjetosProduto"
94,"StatusProjeto"
95,"Kanban de Tarefas"
96,"KanbanProjetos"
97,"Kanban de  Projetos"
98,"SolicitanteModelView"
99,"Solicitantes"
100,"TipoStatusModelView"
101,"Tipo de Status"
102,"UnidadesADM"
104,"UnidadeADMSuperiorModelView"
105,"Unidade ADM Superior"
106,"UnidadeADMModelView"
107,"Unidade ADM"
130,"PainelOKRView"
131,"Painel OKR"
133,"ObjetivoModelView"
134,"Objetivos Estratégicos"
135,"ResultadoChaveModelView"
137,"Resultados Chave"
