TAREFA_ID,FONTE_DADOS,HORAS_EXECUTADAS,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,ERRO_SKLEARN,ERRO_ABSOLUTO_SKLEARN,ERRO_QUADRATICO_SKLEARN,ERRO_PERCENTUAL_SKLEARN,ERRO_NUMPY,ERRO_ABSOLUTO_NUMPY,ERRO_QUADRATICO_NUMPY,ERRO_PERCENTUAL_NUMPY,DIFERENCA_MODELOS,MODELO_MAIS_PROXIMO,MODEL_SCOPE,FEATURE_SET_NAME,DATA_ANALISE
129142,SNOWFLAKE,1.0,0.87,0.79,-0.13,0.13,0.0169,13.0,-0.21,0.21,0.0441,21.0,0.08,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
22236,SNOWFLAKE,8.0,9.77,8.46,1.77,1.77,3.1329,22.12,0.46,0.46,0.2116,5.75,1.31,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
158964,SNOWFLAKE,2.0,1.84,0.56,-0.16,0.16,0.0256,8.0,-1.44,1.44,2.0736,72.0,1.28,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
10857,SNOWFLAKE,1.0,1.71,1.3,0.71,0.71,0.5041,71.0,0.3,0.3,0.09,30.0,0.41,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
22740,SNOWFLAKE,0.5,0.87,0.79,0.37,0.37,0.1369,74.0,0.29,0.29,0.0841,58.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
35647,SNOWFLAKE,11.0,15.43,13.14,4.43,4.43,19.6249,40.27,2.14,2.14,4.5796,19.45,2.29,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
141020,SNOWFLAKE,2.0,1.68,1.29,-0.32,0.32,0.1024,16.0,-0.71,0.71,0.5041,35.5,0.39,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
40803,SNOWFLAKE,4.0,3.81,3.15,-0.19,0.19,0.0361,4.75,-0.85,0.85,0.7225,21.25,0.66,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
102802,SNOWFLAKE,8.0,7.62,6.65,-0.38,0.38,0.1444,4.75,-1.35,1.35,1.8225,16.88,0.97,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
150940,SNOWFLAKE,3.07,4.07,3.72,1.0,1.0,1.0,32.57,0.65,0.65,0.4225,21.17,0.35,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
147909,SNOWFLAKE,8.0,6.86,5.66,-1.14,1.14,1.2996,14.25,-2.34,2.34,5.4756,29.25,1.2,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
160099,SNOWFLAKE,2.0,1.54,1.07,-0.46,0.46,0.2116,23.0,-0.93,0.93,0.8649,46.5,0.47,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
