"id","projeto_id","descricao","arquivo","horario"
10,103,"","bef31cf0-1036-11ee-b2df-0242ac110013_sep_FICHA_DE_QUALIFICACAO_INDICADORES_21-06-2023.pdf","2023-06-21 10:23:01.35942"
11,103,"","c1d37618-1036-11ee-b2b3-0242ac110013_sep_FICHA_DE_QUALIFICACAO_INDICADORES_21-06-2023.pdf","2023-06-21 10:23:06.193441"
12,245,"","69da9e8c-1414-11ee-a13c-0242ac110013_sep_Formulario_Solicitacao_de_Demanda_-LGBTQIA.pdf","2023-06-26 08:27:20.589505"
4,297,"","4d588150-09df-11ee-83d8-0242ac110005_sep_Centralizador_de_paineis_1.JPG","2023-06-13 08:41:57.590597"
5,297,"","564b1886-09df-11ee-829c-0242ac110005_sep_centralizador_de_paineis_3.JPG","2023-06-13 08:42:12.580199"
6,297,"","5e3a1344-09df-11ee-99f8-0242ac110005_sep_centralizador_de_paineis_4.JPG","2023-06-13 08:42:25.92708"
7,297,"","6a606f06-09df-11ee-a807-0242ac110005_sep_Modelo_do_centralizador.JPG","2023-06-13 08:42:46.311334"
8,261,"","69f22772-09e3-11ee-bec1-0242ac110005_sep_Formulario_Solicitacao_de_Demanda_-_Formularios_Google_52.pdf","2023-06-13 09:11:23.573783"
9,297,"","de417fa2-0c4e-11ee-8d4f-0242ac110013_sep_Capturar_1.JPG","2023-06-16 11:05:37.170166"
13,245,"","a87796fe-1414-11ee-b009-0242ac110013_sep_Ficha_e-_sus.pdf","2023-06-26 08:29:05.647748"
14,331,"","42d554d0-1680-11ee-b8ab-0242ac110013_sep_LEITOS_X_ESPECIALIDADES_X_PROCEDIMENTOS.xlsx","2023-06-29 10:24:22.880658"
15,331,"","4aa4ee28-1680-11ee-83e0-0242ac110013_sep_CNV.zip","2023-06-29 10:24:35.996844"
16,343,"<p><a href=""https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9"">https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9</a></p>",NULL,"2023-07-06 15:08:36.336943"
18,346,"","930bf894-1f3d-11ee-a9b4-0242ac110013_sep_fichas_eSUS_-_Rogerio_Borges.pdf","2023-07-10 13:19:41.730692"
17,346,"","c379b804-1f3d-11ee-929a-0242ac110013_sep_Formulario_Solicitacao_de_Demanda_-_35.pdf","2023-07-10 13:19:05.728719"
19,60,"","d9fdddae-1f46-11ee-bef8-0242ac110013_sep_Dados_indicador1_4.csv","2023-07-10 14:26:06.125279"
20,60,"","e4aadd92-1f46-11ee-aef1-0242ac110013_sep_Recurso_financeiro_por_municipio_e_etapas_01.12.2022_4.xlsx","2023-07-10 14:26:24.035669"
21,60,"","f625e094-1f46-11ee-b836-0242ac110013_sep_VACINA_-_Apres._Painel_-_Gerencia_de_Imunizacao_Coordenacao_SIPNI_2.pptx","2023-07-10 14:26:53.37446"
22,60,"","10454e24-1f47-11ee-93ed-0242ac110013_sep_VACINA-_Formulario_Solicitacao_de_Demanda_-_Formularios_Google_38.pdf","2023-07-10 14:27:37.186092"
23,60,"","3713898a-1f47-11ee-8d8a-0242ac110013_sep_FICHA_DE_QUALIFICACAO_INDICADORES.docx","2023-07-10 14:28:42.40554"
24,103,"","c6c4c81e-1f47-11ee-9518-0242ac110013_sep_FICHA_DE_QUALIFICACAO_INDICADORES_21-06-2023_1.pdf","2023-07-10 14:32:43.479664"
25,339,"<p>Prot&oacute;tipo aprovado via e-mail no dia 14/07/2023</p>","788bd43c-2238-11ee-82f8-0242ac110013_sep_Prototipo_Sifilis_Congenita_casos_1.JPG","2023-07-14 08:20:43.182736"
26,339,"<p><a href=""https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9"">https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9</a></p>",NULL,"2023-07-27 10:02:18.90007"
27,339,"<p><a href=""https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9"">https://app.powerbi.com/view?r=eyJrIjoiOTFiNzQyNzQtZjhjOC00NGUwLWEwMjQtNTIxMTllZDYzYzQ2IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9</a></p>",NULL,"2023-07-27 10:02:24.041438"
28,339,"<p>https://docs.google.com/spreadsheets/d/1VXSZ2j7DjFt8sZAe_6QGD8bnDtNMLPTDv1QRXO1nGQo/edit#gid=0</p>",NULL,"2023-07-31 10:17:01.781719"
29,339,"<p>https://docs.google.com/spreadsheets/d/1VXSZ2j7DjFt8sZAe_6QGD8bnDtNMLPTDv1QRXO1nGQo/edit#gid=0</p>",NULL,"2023-07-31 10:17:07.222889"
32,382,"","e962cee8-3b62-11ee-83c7-0242ac110013_sep_Formulario_Solicitacao_de_Demanda_-_54.pdf","2023-08-15 08:57:30.431429"
31,374,"<p><img src=""/static/uploads/add?_flt_0_projeto=374-05175c19-3560-44a8-8743-ead04ccabadd-mceclip0.jpg"" /></p>",NULL,"2023-07-31 10:42:22.778259"
