"id","projeto_id","coordenacao_id"
1,41,2
2,57,2
3,43,2
4,42,2
5,15,2
363,404,3
7,47,3
253,254,2
9,60,2
10,12,2
11,61,2
12,62,2
13,63,2
14,64,2
15,65,2
16,66,2
17,67,2
18,68,2
19,69,2
20,70,2
21,71,2
22,72,2
23,73,2
24,34,2
25,1,2
26,50,2
27,29,2
28,33,2
29,74,2
30,56,3
31,23,3
32,75,2
33,40,2
560,601,3
35,27,2
36,76,2
284,276,2
285,277,2
39,80,2
40,81,2
328,352,1
42,83,2
43,83,3
617,655,13
519,558,2
191,210,3
47,86,4
336,369,2
49,88,2
50,89,2
51,90,2
52,91,1
53,92,2
54,92,1
55,92,3
56,92,4
618,656,2
260,260,2
60,96,2
62,98,2
64,100,2
65,101,2
66,102,2
67,103,2
68,104,2
70,106,2
71,107,2
72,108,2
74,44,2
79,112,2
76,26,2
226,233,2
78,111,2
80,53,2
561,602,2
114,146,2
116,148,2
117,2,2
118,150,2
119,151,2
120,152,2
121,153,2
122,155,2
123,154,3
196,214,2
125,157,2
126,158,2
127,54,2
128,159,2
457,497,3
404,440,2
132,86,3
133,160,2
134,160,1
135,160,3
136,149,3
137,161,3
508,543,2
139,87,4
194,213,2
141,163,3
142,164,3
143,165,3
144,166,1
145,166,3
146,55,3
364,376,1
459,499,3
254,28,2
460,500,2
198,217,2
152,38,3
153,36,3
154,30,3
155,20,3
156,4,3
509,504,2
181,200,3
182,201,3
183,202,3
184,203,3
185,204,3
186,205,3
187,206,3
188,207,3
189,208,3
190,209,3
255,255,2
200,219,2
201,220,2
202,221,2
203,222,2
204,223,2
205,224,2
206,8,2
208,225,2
209,6,2
210,48,2
256,256,2
212,7,2
213,5,2
214,3,2
215,227,2
216,228,2
217,229,2
219,231,2
220,232,2
221,17,2
222,21,2
223,22,2
224,19,2
225,10,2
228,235,2
229,236,2
230,237,2
231,238,2
232,239,2
233,240,2
234,241,2
235,242,2
236,243,2
237,13,2
238,35,2
239,244,2
240,25,3
241,24,1
242,31,1
243,245,2
244,246,2
245,247,2
246,248,2
247,249,2
248,250,2
249,251,2
251,252,2
252,253,2
257,257,2
258,258,2
259,259,2
261,261,2
262,263,2
263,264,1
264,265,3
268,51,1
365,376,3
593,636,9
272,266,3
273,267,1
274,267,3
275,268,3
276,269,3
277,270,3
278,271,2
279,16,1
280,272,2
281,273,2
282,274,2
283,275,2
286,278,6
287,279,6
289,281,6
290,282,6
291,286,9
292,284,9
293,283,6
294,285,6
295,287,6
296,288,9
297,289,9
298,290,9
299,291,9
300,297,2
301,307,9
302,308,9
303,309,1
304,310,7
305,311,2
366,405,3
307,312,9
308,313,9
309,314,9
310,329,2
311,330,2
312,331,2
313,333,2
314,334,6
315,335,1
316,336,2
317,337,2
318,338,2
319,339,2
320,340,2
329,358,2
322,343,2
325,346,2
326,348,2
338,374,2
330,359,6
331,360,9
333,363,2
334,366,2
335,368,10
337,370,2
339,375,10
398,432,10
341,377,2
342,378,2
345,381,2
346,382,2
347,383,10
348,384,6
349,385,6
350,390,7
351,393,6
352,391,2
353,396,2
354,398,6
355,399,9
356,357,3
357,356,3
358,262,3
663,690,13
360,401,3
534,572,3
362,403,3
367,406,2
368,406,1
369,406,3
664,691,1
640,680,2
641,679,2
510,552,1
374,409,3
375,410,2
376,411,3
489,528,3
380,413,3
381,415,2
382,416,2
383,417,2
384,418,3
386,420,9
387,421,2
388,422,2
389,423,2
390,424,2
391,425,2
392,426,9
393,427,2
394,428,9
395,429,1
396,430,1
397,431,1
399,433,10
400,434,9
401,435,2
402,438,2
403,439,1
405,441,10
406,441,9
407,446,2
408,445,2
409,444,3
410,436,2
411,448,2
412,449,2
413,450,2
414,452,1
415,453,2
416,454,2
417,455,9
418,457,2
419,458,9
420,459,2
421,460,2
422,464,10
423,467,1
424,467,4
425,468,9
426,469,9
427,470,2
428,471,2
429,472,2
430,473,2
431,474,2
432,475,2
433,55,2
434,476,2
435,477,2
436,478,6
437,480,2
438,481,2
439,482,2
440,483,2
642,678,2
442,443,3
443,442,3
444,484,3
445,485,3
446,486,3
447,487,3
448,488,3
449,489,3
450,490,3
451,491,3
452,492,3
453,493,3
454,494,3
455,495,3
463,511,2
464,512,2
465,513,2
466,514,2
467,515,2
468,516,3
469,508,2
470,506,2
471,517,1
472,518,1
596,639,3
474,520,2
646,676,2
476,503,2
477,502,2
622,661,2
483,507,2
484,523,2
485,524,2
486,525,2
487,526,2
488,527,2
490,529,1
492,531,1
493,532,2
494,533,2
495,536,3
496,537,3
497,534,2
498,540,3
499,541,3
500,545,6
501,498,1
502,546,3
505,549,3
665,692,3
511,535,2
512,553,6
513,554,3
514,555,3
597,640,9
600,643,2
521,561,2
522,562,13
523,563,13
524,564,9
525,565,6
526,566,2
650,684,2
528,567,2
619,657,3
530,568,2
531,570,2
601,644,2
533,571,2
535,575,3
666,682,2
537,576,13
548,589,2
539,580,13
540,581,13
541,582,13
542,583,13
543,584,13
544,585,13
545,586,13
546,588,13
547,590,2
549,591,3
550,592,2
551,593,13
603,646,3
553,594,13
554,595,2
555,596,3
556,597,2
557,559,13
558,598,13
559,599,2
562,603,13
563,604,13
565,606,9
566,607,2
567,608,2
568,609,2
569,610,13
570,612,13
571,613,13
572,395,2
573,614,2
574,615,13
575,616,2
576,617,1
577,618,2
578,619,13
579,621,2
580,623,2
581,624,13
623,662,2
583,626,1
584,628,1
585,629,13
586,630,2
587,402,14
588,579,13
589,519,2
590,632,1
591,633,1
592,634,13
604,647,3
605,648,15
606,649,15
607,650,1
608,651,2
609,652,13
610,653,13
611,408,13
612,625,13
613,496,14
614,402,3
624,660,2
625,663,2
626,664,1
627,664,13
643,673,2
629,665,14
630,407,13
631,666,2
632,654,2
633,667,2
645,675,2
635,667,14
636,668,2
637,669,13
638,670,13
647,677,2
648,672,2
651,684,1
652,684,3
653,685,1
654,551,14
656,400,14
657,686,1
658,641,13
659,687,2
660,688,2
661,689,2
662,394,1
667,693,13
668,694,10
669,695,2
670,696,2
671,698,2
672,699,13
673,700,13
674,701,2
675,702,3
676,703,3
679,708,2
678,707,3
680,709,2
681,711,2
683,710,2
685,713,3
756,774,2
687,720,2
688,721,2
689,538,2
690,714,2
691,715,2
693,717,2
694,718,2
695,719,2
696,722,13
697,723,13
698,724,2
699,725,2
700,726,2
701,727,2
702,728,2
703,729,2
704,730,2
705,731,2
706,732,2
707,733,2
708,734,2
709,735,2
710,736,2
711,737,2
712,738,2
713,739,6
714,280,9
715,742,2
716,742,1
720,744,13
721,745,11
722,746,2
478,501,2
479,148,1
480,521,2
481,522,2
491,530,1
503,547,3
504,548,3
682,683,2
599,642,1
644,674,2
616,654,14
620,658,13
621,659,2
655,550,13
692,716,2
723,747,1
724,748,1
725,749,2
726,750,1
727,751,13
757,775,2
758,776,2
732,752,9
733,753,3
734,754,2
735,755,1
737,756,1
738,757,1
739,758,1
740,759,1
741,760,1
742,761,1
743,762,1
744,763,13
745,764,13
746,765,13
747,766,3
748,766,14
749,771,3
750,772,3
773,789,3
755,773,2
759,777,2
760,778,3
761,779,2
762,780,13
763,781,2
764,782,3
765,783,3
766,784,13
767,785,10
768,786,1
769,787,13
771,788,3
774,790,2
775,791,19
777,793,19
778,794,19
779,795,19
780,796,19
781,797,19
782,798,19
783,799,19
784,800,19
785,801,19
786,802,19
787,803,19
788,804,19
789,805,19
790,806,19
791,807,19
792,808,19
793,809,19
794,810,19
796,812,19
799,814,2
800,815,2
802,720,18
804,547,18
805,537,20
806,695,20
807,543,20
808,566,20
809,753,20
810,778,20
811,817,2
812,818,2
813,819,14
814,550,14
816,821,19
817,822,19
818,823,19
819,824,19
820,826,19
821,827,19
822,828,19
823,829,2
824,830,19
825,831,19
826,832,19
827,833,19
831,837,19
832,838,19
833,839,19
834,840,19
835,841,19
836,842,19
837,534,18
838,843,19
839,844,19
840,845,19
841,846,19
842,847,19
843,848,19
844,849,19
845,850,19
846,851,19
847,852,19
848,853,13
849,854,19
850,855,19
851,856,19
852,857,19
853,858,19
854,859,19
855,860,19
856,861,19
857,862,19
858,863,19
859,864,19
860,865,19
861,866,19
862,867,2
863,868,2
864,869,19
865,870,19
866,871,13
867,635,2
868,461,2
869,872,1
870,873,13
872,562,17
873,874,2
874,874,14
875,875,1
876,608,17
877,607,17
878,876,2
879,709,17
880,840,17
881,837,17
882,851,17
883,878,2
884,879,13
885,880,19
886,881,13
887,882,2
888,883,19
889,884,13
890,885,13
891,886,13
892,887,3
893,701,20
894,707,20
895,888,2
896,511,18
897,819,3
898,889,3
899,889,14
900,890,14
901,891,2
902,892,2
903,892,1
904,892,3
905,892,13
906,892,19
907,893,3
908,819,1
909,895,13
910,896,19
911,897,3
912,898,3
913,899,3
914,900,3
915,901,3
916,902,3
917,903,13
918,905,2
919,906,2
920,907,2
921,908,2
923,910,2
924,911,2
925,912,2
926,913,2
927,914,2
928,916,3
929,917,19
930,918,13
932,919,2
934,920,2
935,921,2
936,921,14
937,922,2
938,923,2
939,924,2
940,925,13
941,926,19
942,927,13
943,928,14
944,928,13
945,929,13
946,930,13
947,931,13
948,930,1
949,932,14
950,932,13
953,871,1
954,934,13
955,935,2
956,936,1
957,937,1
958,938,1
959,939,19
960,940,1
961,941,19
962,942,19
963,943,10
964,944,2
965,945,2
966,946,2
967,947,2
968,947,1
969,867,1
970,948,1
971,949,1
973,951,1
974,952,1
975,953,1
976,954,1
977,955,2
978,956,2
979,957,1
980,958,19
981,959,19
982,960,2
984,963,13
985,964,19
987,967,2
989,783,20
991,968,3
992,969,2
993,972,2
994,973,3
995,974,19
996,975,2
997,976,3
998,976,14
999,977,2
1000,978,10
1001,979,19
1002,980,19
1003,981,19
1004,982,2
1009,984,3
1010,985,13
1011,100,17
1012,986,19
1013,987,19
1014,988,19
1015,989,2
1016,990,2
1017,990,3
1021,992,19
1022,993,19
1026,993,24
1027,864,24
1028,476,17
1029,476,24
1030,994,3
1032,994,24
1033,995,1
1034,996,2
1035,996,1
1036,996,3
1037,996,13
1038,997,3
1039,998,22
1040,998,21
1041,998,23
1042,999,3
1043,591,20
1044,789,20
1045,893,20
1046,848,20
1047,888,20
1048,994,18
1050,988,18
1052,864,20
1053,850,20
1054,827,20
1055,967,20
1056,819,20
1057,882,20
1058,908,20
1059,754,20
1060,829,20
1061,89,20
1062,508,20
1063,968,20
1064,214,20
1065,213,20
