"id","fator_complexidade","cargo_id","nivel_id","contrato_id","ativo","id_fator_old"
1,"1.1",1,2,1,True,NULL
2,"1.6",1,3,1,True,NULL
3,"1",2,1,1,True,NULL
4,"1.6",2,2,1,True,NULL
5,"1.9",2,3,1,True,NULL
6,"1",3,1,1,True,NULL
7,"1.6",3,2,1,True,NULL
8,"1.9",3,3,1,True,NULL
9,"1.6",4,2,1,True,NULL
10,"1.9",4,3,1,True,NULL
11,"1.3",11,2,2,True,1
12,"1.9",11,3,2,True,2
13,"1.3",16,2,2,True,3
14,"1",9,1,2,True,4
15,"1.1",9,2,2,True,5
16,"1.7",9,3,2,True,6
18,"1.3",13,3,2,True,8
20,"1.3",10,2,2,True,10
21,"3.2",12,3,2,True,11
22,"1.3",17,2,2,True,12
23,"1",20,4,3,True,NULL
17,"1.7",14,3,2,True,7
24,"1",21,4,4,True,NULL
