"id","titulo","guia_id"
417,"Índice de Giro de Leitos (↑) ",NULL
418,"Taxa de Mortalidade Infantil (↓)",NULL
419,"Cobertura Vacinal de Tríplice Viral Nas Crianças De 1 Ano de Idade (↑)",NULL
420,"Percentual de Suspensão de Cirurgias Programadas por Condições Operacionais (Causas Relacionadas à Organização da Unidade) (↓)",NULL
421,"Percentual  de Oferta de Terapias (↑)",NULL
422,"Coeficiente de Mortalidade por Hepatite B (↓)",NULL
423,"Percentual de Recusa Familiar para Doação de Órgãos em Morte Encefálica (↓)",NULL
424,"Taxa de Detecção de Hepatite C (↑)",NULL
425,"Percentual de Exames Laboratoriais Liberados em até 2 Horas (↑)",NULL
426,"Percentual de Absenteísmo de Exames de Diagnóstico (externo) (↓)",NULL
427,"Percentual de Oferta de Exames de Diagnóstico (interno) (↑)",NULL
428,"Proporção de Casos de Hepatite B Segundo Provável Fonte ou Mecanismo de Infecção e Ano de Diagnóstico (↓)",NULL
429,"Percentual de Oferta de Exames de Diagnóstico (externo) (↑)",NULL
430,"Razão entre Nascidos Vivos Informados e Estimados ",NULL
431," Percentual de Oferta de Consultas Médicas Especializadas (↑)",NULL
432,"Percentual de Atraso na Elaboração do Anexo I dos Contratos no Quadrimestre(↓)",NULL
433,"Percentual de Cura dos Casos Novos de Tuberculose Pulmonar com Confirmação Laboratorial (↑)",NULL
434,"Taxa de Utilização de Cateter Venoso Central (CVC) (↓)",NULL
435,"Qualidade do Hemocomponente Produzido - Percentual de Conformidade (↑)  ",NULL
436,"Razão de exames de mamografia de rastreamento realizados em mulheres na faixa etária de 50 a 69 anos (↑)",NULL
437,"Percentual de Disponibilidade dos Equipamentos Médicos Assistenciais Críticos (↑)",NULL
438,"Proporção de Gravidez na Adolescência (10-19 anos) (↓)",NULL
439,"Índice de Envelhecimento  ",NULL
440,"Taxa de Readmissão Hospitalar (29 Dias) (↓)",NULL
441,"Taxa de Usuários com  Plano Terapêutico Individual (PTI) Elaborado (↑)",NULL
442,"Percentual de Ocorrência de Glosas no SIA-SUS (↓)",NULL
443,"Percentual de Absenteísmo (↓)",NULL
444,"Taxa de Incidência de COVID-19 (↓)",NULL
445,"Razão do Quantitativo de Exames de Imagem e Análise Clínica Ofertados (→)",NULL
446,"Proporção de Pessoas com Diabetes, com Consulta e Hemoglobina Glicada Solicitada no Semestre (↑)",NULL
