"id","projeto_id","ficha_id"
7,65,440
8,146,527
9,73,578
10,72,420
11,71,522
12,70,542
13,69,569
14,68,569
15,67,572
16,64,437
17,150,512
18,151,425
19,152,524
20,153,528
21,148,516
22,61,492
23,225,444
24,225,454
25,225,594
26,8,471
27,5,436
28,5,477
29,5,530
30,5,551
31,5,589
32,5,593
33,5,748
34,33,418
35,33,541
36,33,571
37,33,600
38,258,599
39,272,465
40,273,452
41,275,549
42,515,584
43,567,433
44,567,446
45,567,530
46,567,556
47,567,566
48,567,591
49,567,592
50,567,623
51,567,672
52,567,718
53,567,785
54,567,859
55,567,1133
56,567,2808
57,660,741
