"id","projeto_id","ab_user_id"
1,41,10
4,42,12
5,15,10
569,635,10
481,91,16
288,390,91
10,47,3
339,420,91
13,12,10
14,61,10
15,62,10
16,63,10
17,64,10
18,65,10
19,66,10
20,67,10
21,68,10
22,69,10
23,70,10
24,71,10
25,72,10
26,73,10
31,33,10
32,74,10
33,56,3
34,23,3
35,75,10
359,436,111
714,756,115
570,636,91
41,80,10
44,96,10
534,601,54
372,455,90
658,703,113
82,146,10
743,780,137
86,150,10
87,151,10
88,152,10
89,153,10
93,159,10
94,159,16
659,707,54
205,266,3
97,160,4
98,160,3
340,311,10
423,497,113
101,161,3
341,426,91
104,163,54
105,163,3
106,164,8
107,165,8
108,166,4
109,166,3
342,417,111
552,612,178
744,735,265
345,428,58
144,20,15
145,20,3
146,201,3
147,205,3
151,224,10
152,8,10
355,440,10
666,710,250
745,737,265
373,457,10
374,458,91
166,10,10
236,308,15
170,235,14
171,236,14
174,241,10
715,757,4
176,243,14
177,13,10
179,25,3
180,24,16
181,31,16
183,249,10
184,250,10
185,251,10
186,251,3
187,253,10
667,711,250
190,28,10
191,225,10
192,255,10
193,256,10
194,257,10
195,258,10
196,259,10
536,602,111
200,264,4
201,264,16
353,254,10
204,265,3
358,444,3
207,267,3
209,261,10
540,606,91
211,16,4
573,639,113
574,640,91
575,449,250
576,520,10
217,278,59
218,279,60
219,280,60
220,280,58
221,281,58
222,282,60
223,283,58
224,284,58
225,285,17
226,285,58
227,286,5
228,286,17
229,287,58
230,288,5
231,289,5
232,290,85
233,292,85
244,329,10
237,308,3
238,309,16
746,782,113
240,314,85
241,314,84
242,315,17
553,624,178
577,641,137
246,335,4
247,335,16
248,348,10
274,374,10
275,375,15
251,352,4
399,480,10
253,353,103
254,353,102
255,353,105
256,354,103
257,354,102
258,354,105
260,360,91
400,481,10
261,368,15
262,369,10
263,260,111
265,260,14
266,339,14
267,339,111
268,339,19
269,337,14
270,337,111
271,343,14
272,343,10
639,484,113
579,641,3
279,381,10
280,297,10
640,690,178
282,384,91
283,385,91
582,646,54
285,346,111
286,340,111
375,460,14
289,393,91
290,398,68
291,398,17
292,398,91
293,399,91
294,399,72
583,647,54
296,356,8
509,576,178
302,411,8
303,409,54
304,266,15
305,208,3
424,498,137
347,432,15
308,207,8
309,209,8
310,200,3
311,30,3
312,202,8
313,202,3
314,4,8
316,203,8
317,206,3
318,204,8
319,210,3
320,36,3
321,268,3
322,38,8
323,38,3
324,154,3
325,161,8
326,149,8
327,357,8
328,405,113
329,262,3
721,718,265
331,55,113
332,401,3
333,406,3
475,552,4
504,574,10
336,366,111
337,391,10
338,418,113
348,430,4
349,433,15
350,283,91
351,434,91
352,439,16
362,358,111
621,672,250
660,673,265
430,513,10
505,575,54
368,427,10
376,464,15
699,744,137
378,467,16
379,468,91
380,469,91
476,553,91
384,475,10
385,55,10
386,476,10
387,477,111
447,529,4
394,478,70
395,478,91
401,482,10
402,483,10
584,648,102
404,487,54
405,488,113
406,489,113
407,490,113
408,491,113
409,492,113
410,493,113
411,486,113
412,485,113
478,555,113
414,408,137
415,407,137
416,443,54
585,649,102
418,404,54
419,442,54
420,494,54
421,495,54
433,107,111
448,530,4
436,506,10
437,517,4
438,518,4
586,650,4
641,691,16
519,589,203
700,744,3
449,531,4
554,625,115
451,521,111
452,537,113
520,592,10
587,650,16
455,540,3
485,560,103
457,545,91
486,560,102
