"id","nome","unidade_superior_id","unidade_executante_id","unidade_adm_id","data_solicitacao","link_git","descricao","link_homolog","link_prod","inf_adicional"
257,"SCRUM",11,42,42,"2023-08-07 08:18:00","","","","",""
166,"Reunião - SCRUM",11,42,42,"2023-06-06 00:00:00","","","","",""
295,"[ARQ] core-v2 (PHP)",11,41,41,NULL,"https://git.saude-go.net/arquitetura/php/v2/core-v2","","","",""
238,"[ARQ] Saudegestao-server",11,41,41,NULL,"","","","",""
11,"Diabetes",11,42,NULL,"2022-01-03 00:00:00","","<p>-Plataforma De Acompanhamento Dos Diab&eacute;ticos</p>
<p>-Elabora&ccedil;&atilde;o de REDE GEORREFER&Ecirc;NCIADA DE SERVI&Ccedil;OS com indicadores agregados.</p>","","",""
20,"Hemocentro",11,42,NULL,"2021-01-26 00:00:00","","","","",""
61,"Chronos",11,42,42,"2021-07-09 00:00:00","","","","",""
332,"Imagens Médicas",11,42,42,"2024-07-25 14:14:00","","","","",""
74," Pesquisas da Escola SES-GO",13,42,50,"2022-09-05 00:00:00","","","http://bi-homolog.saude-go.net/public/pesquisa_cientifica.html","https://indicadores.saude.go.gov.br/public/pesquisa_cientifica.html",""
179,"[ARQ] core-v4 (java)",11,41,41,NULL,"https://git.saude-go.net/arquitetura/java/v4/core-v4","<p>Arquitetura v4 das aplica&ccedil;&otilde;es Java</p>","","",""
13,"e-Sus",11,42,42,"2018-10-30 00:00:00","","<p>O Cadastro Individual Da Aten&ccedil;&atilde;o B&aacute;sica &Eacute; Uma Extens&atilde;o Do Sistema De Cadastramento De Usu&aacute;rios Do Sistema &Uacute;nico De Sa&uacute;de (Cadsus), Complementando As Informa&ccedil;&otilde;es, Por Meio Do N&uacute;mero Do Cart&atilde;o Nacional De Sa&uacute;de (Cns) Do Cidad&atilde;o, Com O Objetivo De Apoiar As Equipes De Aten&ccedil;&atilde;o B&aacute;sica No Mapeamento Das Caracter&iacute;sticas Sociais, Econ&ocirc;micas E De Sa&uacute;de Da Popula&ccedil;&atilde;o Adscrita Ao Territ&oacute;rio Sob Sua Responsabilidade.</p>","","https://indicadores.saude.go.gov.br/public/esus_cadastros.html",""
67,"Metas para a saúde- 2023/2026",11,42,42,"2023-01-05 00:00:00","","","","",""
65,"Transformar o formulário de demanda em um chatbot",11,42,42,"2022-11-16 00:00:00","","","","",""
68,"Geral",11,42,NULL,"2023-03-13 00:00:00","","","","",""
18,"Glosometro",11,42,NULL,"2019-01-20 00:00:00","","<p>Painel Em Tempo Real Para Preven&ccedil;&atilde;o De Glosas Em Aihs.</p>","","",""
319,"Gestão Financeira",2,42,2,"2024-05-08 14:57:00","","","","",""
316,"Práticas Integrativas",8,42,22,"2024-05-06 10:38:00","","","","",""
70,"Monitoramento e Avaliação da Política Nacional de Educação Permanente",13,42,51,"2023-02-02 00:00:00","","","","",""
263,"[ARQ] Geral",11,41,41,NULL,"","","","",""
66,"Interoperabilidade com o SEIC",11,42,42,"2023-01-04 00:00:00","","","","",""
153,"airflow_dags",11,42,42,"2022-08-22 00:00:00","","","","",""
167,"Capacitação Interna",11,42,42,"2023-06-06 00:00:00","","","","",""
159,"Reunião - Big Data",11,42,42,"2023-05-17 00:00:00","","","","",""
240,"Replicação Banco de Dados SGH",11,43,43,"2023-07-03 09:44:00","Não existe Link","<p>Replica&ccedil;&atilde;o Banco de Dados SGH</p>","","",""
264,"Meu PEP",11,42,41,NULL,"","","","",""
260,"[ARQ] template-v1 (svelte)",11,41,41,NULL,"https://git.saude-go.net/arquitetura/javascript/template-v1","","","",""
272,"[DESENV] SDME EXPRESSO",11,41,41,"2023-09-28 21:56:00","","","","",""
47,"Scorpion",10,42,37,NULL,"","<p>Disponibiliza boletim das notifica&ccedil;&otilde;es do Centro de Informa&ccedil;&atilde;o Toxicol&oacute;gica em tempo oportuno. Informa&ccedil;&otilde;es sobre Escorpi&atilde;o, Agrot&oacute;xicos, Medicamentos, Saneantes e Serket</p>","","https://indicadores.saude.go.gov.br/public/scorpion.html",""
163,"Hydra",11,42,42,"2021-08-02 00:00:00","","<p>Este projeto engloba todo a arquitetura de Big Data da SES-GO, especialmente o cluster.</p>","","",""
344,"Calculadora de Risco Gestacional para APS",8,42,NULL,"2024-09-02 09:08:00","","","","",""
69,"Transparência OSs",7,42,21,"2023-01-20 00:00:00","","","http://bi-homolog.saude-go.net/public/transparencia_os.html","https://indicadores.saude.go.gov.br/public/transparencia_os.html",""
157,"Reunião -BI ",11,42,42,"2023-05-17 00:00:00","","","","",""
168,"[DESENV] SCMS",11,41,41,NULL,"","<p>Sistema de Controle de Mandados de Seguran&ccedil;a</p>","","",""
245,"[ARG] Log-api",11,41,41,NULL,"","","","",""
246,"[ARQ] template-v1 (node)",11,41,41,NULL,"","","","",""
247,"[ARQ] core-v1 (Java)",11,41,41,NULL,"","","","",""
23,"Ícaro - Suicídio",8,42,25,"2021-10-01 00:00:00","","<p>O Painel Apresenta Dados Sobre A Taxa De Mortalidade Por Suic&iacute;dio Em Goi&aacute;s</p>","http://bi-homolog.saude-go.net/public/icaro.html","https://indicadores.saude.go.gov.br/public/icaro.html",""
258,"Plano Estadual de Saúde - PES",12,42,45,"2023-08-15 08:54:00","","","","",""
266,"[ARQ] sms-api",11,41,41,NULL,"","","","",""
265,"[DESENV] BARRAMENTO",11,41,41,"2023-09-14 11:25:00","","","","",""
274,"Template padrão",11,42,42,"2023-10-02 13:07:00","","","","",""
333,"Mapeamento de processos",11,42,42,"2024-07-19 16:13:00","","","","",""
275,"[DESENV] PORTAL INOVACAO",11,41,42,NULL,"","<p>Portal dos paineis da Ger&ecirc;ncia de Inova&ccedil;&atilde;o.</p>","","",""
277,"Governança Orçamentária",5,42,72,"2023-10-11 08:27:00","","<p>Foi solicitado pela SUBPEI a automatiza&ccedil;&atilde;o do processo de carga do Painel desenvolvido com Power BI para a Governan&ccedil;a Or&ccedil;ament&aacute;ria.</p>
<p>https://bit.ly/3PKNwwl</p>
<p>A base de dados desse painel &eacute; o SAF.</p>","","",""
365,"Manutenção Cluster A",11,42,42,"2025-01-22 00:01:00","","","","",""
288,"Saúde Digital - Projetos",11,43,43,NULL,"","","","",""
296,"[ARQ] core-v2 (JAVA)",11,41,41,NULL,"https://git.saude-go.net/arquitetura/java/v2/core-v2","","","",""
348,"Estimativa da População por municipio",11,42,42,"2024-10-18 16:20:00","","<p>ideia do Marcos</p>","","",""
335,"Solução em IA",11,43,43,NULL,"","","","",""
401,"[DESENV]ECOPIS",11,41,41,NULL,"","<p>Sistema de cadastro de evento</p>","","",""
404,"Cluster B",11,42,42,"2025-04-01 11:45:00","","","","",""
150,"Serket",10,42,NULL,"2020-12-18 00:00:00","","<p data-pm-slice=""1 1 []"">Facilita a localiza&ccedil;&atilde;o dos pontos de refer&ecirc;ncia de soroterapia antiveneno no Estado de Goi&aacute;s e, com isso, reduzir o tempo de acesso ao tratamento adequado dos acidentes por animais pe&ccedil;onhentos.</p>","","https://indicadores.saude.go.gov.br/public/serket.html",""
169,"[DESENV] REGNET",11,41,41,NULL,"","<p>Sistema de Agendamento das Regionais de Sa&uacute;de</p>","","",""
6,"Centro de Custos",2,42,8,"2021-11-04 00:00:00","","<p>Painel Ser&aacute; Disponibilizado E A Atualiza&ccedil;&atilde;o Dos Dados Ser&aacute; Automatizada De Acordo Com As Fontes Dos Dados Disponibilizada, No Caso Deste Projeto, Base De Dados Do Sistema De Gest&atilde;o De Recursos Humanos Do Governo De Goi&aacute;s Rhnet, Sistema De Programa&ccedil;&atilde;o E Execu&ccedil;&atilde;o Or&ccedil;ament&aacute;ria E Financeira (Siofinet), Sistema De Administra&ccedil;&atilde;o Financeira &ndash; Sistema De Concess&atilde;o De Di&aacute;rias (Saf/Di&aacute;rias). Todos Os Arquivos Utilizados No Processo De Etl (Extract, Transform And Load) E Apresenta&ccedil;&atilde;o No Painel S&atilde;o Planilhas De Dados Exportadas Manualmente Por Servidores Das Respectivas &Aacute;reas E Dos Referidos Sistemas E Disponibilizadas Em Um Diret&oacute;rio Espec&iacute;fico Na Rede Da Ses-Go.</p>","http://bi-homolog.saude-go.net/public/centro_de_custo.html","http://bi.saude-go.net/public/centro_de_custo.html",""
154,"airflow_images",11,42,42,"2022-10-06 00:00:00","","","","",""
160,"Reunião - Data Science",11,42,42,"2023-05-17 00:00:00","","","","",""
289,"Governança de Dados",11,42,42,"2023-12-18 13:42:00","","","","",""
42,"InSUStentabilidade",11,42,42,NULL,"","","","",""
144,"AutoML",11,42,42,"2020-09-21 00:00:00","","","","",""
317,"Reformatação do cluster",11,42,41,"2024-05-06 06:00:00","","<p>Reformula&ccedil;&atilde;o e atauliza&ccedil;&atilde;o do cluster.</p>","","",""
276,"[DESENV] Calculadora de estratificação de riscos",8,41,NULL,"2023-10-17 16:36:00","","<table class=""table table-bordered"">
<tbody>
<tr id=""Descricao"">
<td>
<p>Estratifica&ccedil;&atilde;o De Risco Usando Vari&aacute;veis Definidas Nas Notas T&eacute;cnicas De Diabetes, Hipertens&atilde;o E Sobrepeso E Obesidade Como: Dados Demogr&aacute;ficos (Sexo, Idade, Cor Da Pele), Peso/Altura/Imc, H&aacute;bitos De Vida (Sedentarismo, Tabagismo), Exames Laboratoriais (Glicemia, Lip&iacute;dios S&eacute;ricos), Press&atilde;o Arterial, Presen&ccedil;a De Complica&ccedil;&otilde;es, Capacidade De Autocuidado, Etc.</p>
</td>
</tr>
</tbody>
</table>","http://geinov-docker.saude-go.net:5036/","https://calculadora-risco.saude.go.gov.br/",""
41,"Mapa De Leitos",7,42,20,"2021-06-01 00:00:00","","<p>A finalidade do Mapa de Leitos consiste em apresentar &agrave; comunidade, de forma transparente e em tempo real, a situa&ccedil;&atilde;o de todos os leitos SUS, Gerais e UTIs nas unidades hospitalares pr&oacute;prias e unidades contratualizadas/ conveniadas da Secretaria de Estado da Sa&uacute;de.</p>","http://bi-homolog.saude-go.net/public/mapadeleitos.html","https://indicadores.saude.go.gov.br/public/mapadeleitos.html",""
327,"Digitalização de Prontuários",11,42,42,"2024-06-26 10:00:00","","","","",""
