"id","servico_id","complexidade_id","cargo_id","nivel_id","het_max","desativada","id_regra_old","fator_ajuste"
913,144,10,21,4,"1",False,NULL,"0.5"
894,141,5,9,1,"2",True,NULL,"1"
886,141,5,10,2,"2",True,NULL,"1"
934,187,5,9,1,"0.25",False,NULL,"1"
936,187,5,9,3,"0.25",False,NULL,"1"
938,187,5,10,2,"0.25",False,NULL,"1"
940,187,5,11,3,"0.25",False,NULL,"1"
941,187,5,12,3,"0.25",False,NULL,"1"
943,187,5,14,3,"0.25",False,NULL,"1"
944,187,5,16,2,"0.25",False,NULL,"1"
946,165,5,14,3,"8",False,NULL,"1"
796,107,5,11,2,"36",True,352,"1"
947,166,5,9,2,"8",False,NULL,"1"
950,166,5,9,3,"8",False,NULL,"1"
952,166,5,11,2,"8",False,NULL,"1"
953,166,5,11,3,"8",False,NULL,"1"
955,167,5,10,2,"2",False,NULL,"1"
956,167,5,11,2,"2",False,NULL,"1"
958,167,5,9,2,"2",False,NULL,"1"
959,167,5,9,3,"2",False,NULL,"1"
960,167,5,12,3,"2",False,NULL,"1"
962,168,5,11,2,"4",False,NULL,"1"
963,168,5,11,3,"4",False,NULL,"1"
964,168,5,9,2,"4",False,NULL,"1"
967,169,6,9,1,"5",False,NULL,"1"
969,169,6,9,2,"5",False,NULL,"1"
971,169,6,9,3,"5",False,NULL,"1"
972,169,7,9,2,"6",False,NULL,"1"
974,169,7,9,3,"6",False,NULL,"1"
975,169,8,9,2,"8",False,NULL,"1"
976,169,8,9,3,"8",False,NULL,"1"
977,170,6,9,1,"4",False,NULL,"1"
978,170,6,9,2,"4",False,NULL,"1"
979,170,6,9,3,"4",False,NULL,"1"
980,170,7,9,2,"5",False,NULL,"1"
981,170,7,9,3,"5",False,NULL,"1"
982,170,8,9,2,"6",False,NULL,"1"
983,170,8,9,3,"6",False,NULL,"1"
984,171,7,9,1,"4",False,NULL,"1"
985,171,7,9,2,"4",False,NULL,"1"
986,171,7,9,3,"4",False,NULL,"1"
987,172,8,9,2,"10",False,NULL,"1"
989,172,8,9,3,"10",False,NULL,"1"
990,172,8,12,3,"10",False,NULL,"1"
991,173,6,9,1,"2",False,NULL,"1"
992,173,6,9,2,"2",False,NULL,"1"
993,173,8,9,3,"2",False,NULL,"1"
994,173,7,9,2,"3",False,NULL,"1"
995,173,7,9,3,"3",False,NULL,"1"
996,173,8,9,2,"4",False,NULL,"1"
997,173,8,9,3,"4",False,NULL,"1"
998,174,6,9,1,"1",False,NULL,"1"
999,174,6,9,2,"1",False,NULL,"1"
1000,174,6,9,3,"1",False,NULL,"1"
1001,174,7,9,2,"2",False,NULL,"1"
1002,174,7,9,3,"2",False,NULL,"1"
1003,174,8,9,2,"4",False,NULL,"1"
1004,174,8,9,3,"4",False,NULL,"1"
1005,175,5,9,1,"2",False,NULL,"1"
1006,175,5,9,2,"2",False,NULL,"1"
1007,175,5,9,3,"2",False,NULL,"1"
1008,176,5,9,1,"3",False,NULL,"1"
1009,176,5,9,2,"3",False,NULL,"1"
1010,176,5,9,3,"3",False,NULL,"1"
1011,177,5,9,3,"8",False,NULL,"1"
1012,177,5,10,2,"8",False,NULL,"1"
1014,177,5,12,3,"8",False,NULL,"1"
1015,178,5,9,2,"1",False,NULL,"1"
1016,178,5,9,3,"1",False,NULL,"1"
1018,179,5,11,2,"2",False,NULL,"1"
1019,179,5,11,3,"2",False,NULL,"1"
1020,179,5,16,2,"2",False,NULL,"1"
1021,51,5,16,2,"6",False,NULL,"1"
1022,180,5,9,2,"2",False,NULL,"1"
1023,180,5,9,3,"2",False,NULL,"1"
1024,180,5,16,2,"2",False,NULL,"1"
1025,181,5,11,2,"2",False,NULL,"1"
1026,181,5,11,3,"2",False,NULL,"1"
1027,181,5,9,2,"2",False,NULL,"1"
1028,181,5,9,3,"2",False,NULL,"1"
1030,181,5,16,2,"2",False,NULL,"1"
1031,91,8,16,2,"24",False,NULL,"1"
1032,182,5,9,1,"2",False,NULL,"1"
1033,182,5,9,2,"2",False,NULL,"1"
1034,182,5,9,3,"2",False,NULL,"1"
1035,96,6,9,2,"8",False,NULL,"1"
1036,96,6,9,3,"8",False,NULL,"1"
1037,96,6,12,3,"8",False,NULL,"1"
1038,96,7,12,3,"16",False,NULL,"1"
1039,96,7,9,2,"16",False,NULL,"1"
1040,96,7,9,3,"16",False,NULL,"1"
1041,96,8,9,2,"36",False,NULL,"1"
1042,96,8,9,3,"36",False,NULL,"1"
1043,96,8,12,3,"36",False,NULL,"1"
1044,183,5,9,1,"0.5",False,NULL,"1"
1045,183,5,9,2,"0.5",False,NULL,"1"
731,106,5,11,2,"1",True,227,"1"
937,187,5,9,2,"0.25",False,NULL,"1"
939,187,5,11,2,"0.25",False,NULL,"1"
942,187,5,13,3,"0.25",False,NULL,"1"
