"id","nome","unidade_adm_id"
1,"Velocidade dos Dados",42
2,"Variedade de Dados",42
3,"Volume de Dados",42
4,"Impacto",42
5,"Manutenção",42
6,"Interoperabilidade",42
7,"Segurança",42
8,"Disponibilidade",42
9,"Desempenho",42
10,"Volume de Acessos",42
11,"Público Alvo",42
12,"Processamento Distribuído",42
13,"Volume de Dados",41
14,"Processamento Distribuido",41
15,"Escalabilidade",41
16,"Publico Alvo",41
17,"Volume de Acessos",41
18,"Desempenho",41
19,"Disponibilidade",41
20,"Segurança",41
21,"Interoperabilidade",41
22,"Confiabilidade",41
23,"Padroes de Projeto",41
24,"Legais",41
25,"Estrategia Governamental",41
26,"Urgencia",41
27,"Impacto",41
