"id","projeto_id","tecnologia_id"
1,65,1
2,146,1
3,73,1
4,72,1
5,71,1
6,70,1
7,69,1
8,68,1
9,67,1
10,150,1
11,151,1
12,152,1
13,153,1
14,61,1
15,155,1
16,224,1
17,8,1
123,159,1
19,6,1
20,7,1
21,5,1
22,3,1
23,229,1
29,237,1
25,231,1
26,232,1
27,21,1
28,22,1
30,238,1
31,241,1
32,53,1
33,33,1
66,246,1
67,248,1
68,251,1
69,252,1
70,253,1
71,225,1
72,257,1
73,258,1
74,2,1
75,266,7
76,239,1
77,223,1
78,222,1
79,271,1
80,74,1
81,96,1
82,75,1
83,214,1
84,213,1
85,276,1
86,277,1
87,286,12
88,287,9
89,289,9
90,297,2
91,54,1
92,308,12
103,374,1
104,260,1
95,353,13
96,353,14
97,353,16
98,354,13
99,354,14
100,354,16
101,360,9
102,368,12
105,26,1
106,346,1
107,339,1
108,337,1
109,340,1
110,363,1
111,410,1
117,417,1
113,311,8
114,421,1
115,428,9
116,422,1
118,254,1
119,436,1
120,423,1
121,415,1
122,424,1
124,440,1
125,441,9
126,446,1
127,445,1
128,329,1
129,453,1
130,457,1
131,377,1
132,384,9
133,480,1
134,481,1
135,482,1
136,483,1
137,521,1
138,560,13
139,560,14
140,560,16
141,550,7
142,613,2
143,543,1
144,649,19
145,694,12
146,534,1
147,751,2
148,751,5
149,695,1
150,707,2
151,591,2
152,778,2
153,783,8
154,786,8
155,882,1
156,889,8
157,890,8
158,890,7
159,890,2
160,789,2
161,749,2
162,749,1
163,976,8
164,984,2
