"id","status_id","tipo_id","id_tipo_status_old"
1,3,1,NULL
2,3,2,NULL
3,10,1,NULL
4,4,1,NULL
5,4,2,NULL
6,5,1,NULL
7,5,2,NULL
9,6,2,NULL
10,12,2,NULL
49,35,3,NULL
12,2,1,NULL
13,13,2,NULL
14,14,2,NULL
15,16,3,1
16,15,3,2
17,18,3,3
18,18,4,4
19,15,4,5
20,17,3,6
21,17,4,7
22,20,3,8
23,20,4,9
24,19,3,10
25,21,3,12
26,21,4,13
45,31,1,NULL
46,32,1,NULL
29,2,2,NULL
30,22,3,NULL
31,23,6,NULL
32,23,5,NULL
33,24,6,NULL
34,24,5,NULL
35,25,5,NULL
36,26,6,NULL
37,26,5,NULL
38,27,6,NULL
39,27,5,NULL
40,28,6,NULL
41,28,5,NULL
44,30,2,NULL
48,34,2,NULL
50,36,5,NULL
51,37,8,NULL
52,37,7,NULL
53,38,8,NULL
54,38,7,NULL
55,39,8,NULL
56,39,7,NULL
57,40,8,NULL
58,40,7,NULL
59,41,7,NULL
60,42,7,NULL
61,43,2,NULL
