TAREFA_ID,FONTE_DADOS,HORAS_EXECUTADAS,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,ERRO_SKLEARN,ERRO_ABSOLUTO_SKLEARN,ERRO_QUADRATICO_SKLEARN,ERRO_PERCENTUAL_SKLEARN,ERRO_NUMPY,ERRO_ABSOLUTO_NUMPY,ERRO_QUADRATICO_NUMPY,ERRO_PERCENTUAL_NUMPY,DIFERENCA_MODELOS,MODELO_MAIS_PROXIMO,MODEL_SCOPE,FEATURE_SET_NAME,DATA_ANALISE
87558,SNOWFLAKE,1.0,1.74,1.45,0.74,0.74,0.5476,74.0,0.45,0.45,0.2025,45.0,0.29,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
112569,SNOWFLAKE,1.0,0.8,0.95,-0.2,0.2,0.04,20.0,-0.05,0.05,0.0025,5.0,0.15,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
69706,SNOWFLAKE,2.0,1.83,1.7,-0.17,0.17,0.0289,8.5,-0.3,0.3,0.09,15.0,0.13,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
124160,SNOWFLAKE,1.02,6.1,4.59,5.08,5.08,25.8064,498.04,3.57,3.57,12.7449,350.0,1.51,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
25735,SNOWFLAKE,1.0,1.25,1.79,0.25,0.25,0.0625,25.0,0.79,0.79,0.6241,79.0,0.54,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
65774,SNOWFLAKE,2.0,1.83,1.7,-0.17,0.17,0.0289,8.5,-0.3,0.3,0.09,15.0,0.13,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
54029,SNOWFLAKE,5.0,1.37,3.62,-3.63,3.63,13.1769,72.6,-1.38,1.38,1.9044,27.6,2.25,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
138198,SNOWFLAKE,1.0,1.67,1.94,0.67,0.67,0.4489,67.0,0.94,0.94,0.8836,94.0,0.27,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
59044,SNOWFLAKE,1.0,0.76,1.48,-0.24,0.24,0.0576,24.0,0.48,0.48,0.2304,48.0,0.72,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
51582,SNOWFLAKE,1.0,0.83,0.94,-0.17,0.17,0.0289,17.0,-0.06,0.06,0.0036,6.0,0.11,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
1660,SNOWFLAKE,1.5,2.96,2.04,1.46,1.46,2.1316,97.33,0.54,0.54,0.2916,36.0,0.92,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
110460,SNOWFLAKE,1.0,1.02,0.99,0.02,0.02,0.0004,2.0,-0.01,0.01,0.0001,1.0,0.03,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
25921,SNOWFLAKE,5.0,7.08,6.78,2.08,2.08,4.3264,41.6,1.78,1.78,3.1684,35.6,0.3,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
127098,SNOWFLAKE,2.0,1.77,1.8,-0.23,0.23,0.0529,11.5,-0.2,0.2,0.04,10.0,0.03,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
52151,SNOWFLAKE,4.0,3.79,3.32,-0.21,0.21,0.0441,5.25,-0.68,0.68,0.4624,17.0,0.47,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
111246,SNOWFLAKE,2.0,1.34,1.28,-0.66,0.66,0.4356,33.0,-0.72,0.72,0.5184,36.0,0.06,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
79581,SNOWFLAKE,4.0,3.32,3.46,-0.68,0.68,0.4624,17.0,-0.54,0.54,0.2916,13.5,0.14,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
32976,SNOWFLAKE,3.5,5.16,4.52,1.66,1.66,2.7556,47.43,1.02,1.02,1.0404,29.14,0.64,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
130273,SNOWFLAKE,1.0,1.0,0.97,0.0,0.0,0.0,0.0,-0.03,0.03,0.0009,3.0,0.03,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
28350,SNOWFLAKE,1.0,0.5,1.59,-0.5,0.5,0.25,50.0,0.59,0.59,0.3481,59.0,1.09,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
31968,SNOWFLAKE,0.5,5.3,5.11,4.8,4.8,23.04,960.0,4.61,4.61,21.2521,922.0,0.19,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
124358,SNOWFLAKE,0.0,0.75,0.87,0.75,0.75,0.5625,,0.87,0.87,0.7569,,0.12,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
97860,SNOWFLAKE,1.0,0.88,1.02,-0.12,0.12,0.0144,12.0,0.02,0.02,0.0004,2.0,0.14,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
153552,SNOWFLAKE,1.0,1.82,1.71,0.82,0.82,0.6724,82.0,0.71,0.71,0.5041,71.0,0.11,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
34589,SNOWFLAKE,1.0,0.84,0.92,-0.16,0.16,0.0256,16.0,-0.08,0.08,0.0064,8.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
47577,SNOWFLAKE,1.0,0.88,1.01,-0.12,0.12,0.0144,12.0,0.01,0.01,0.0001,1.0,0.13,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
10053,SNOWFLAKE,0.25,1.06,1.18,0.81,0.81,0.6561,324.0,0.93,0.93,0.8649,372.0,0.12,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
67074,SNOWFLAKE,2.0,1.83,1.7,-0.17,0.17,0.0289,8.5,-0.3,0.3,0.09,15.0,0.13,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
64317,SNOWFLAKE,20.0,18.13,22.58,-1.87,1.87,3.4969,9.35,2.58,2.58,6.6564,12.9,4.45,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
1559,SNOWFLAKE,2.0,5.08,3.89,3.08,3.08,9.4864,154.0,1.89,1.89,3.5721,94.5,1.19,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
162691,SNOWFLAKE,1.5,1.82,1.71,0.32,0.32,0.1024,21.33,0.21,0.21,0.0441,14.0,0.11,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
7512,SNOWFLAKE,2.0,1.96,2.01,-0.04,0.04,0.0016,2.0,0.01,0.01,0.0001,0.5,0.05,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
93920,SNOWFLAKE,1.09,1.79,2.08,0.7,0.7,0.49,64.22,0.99,0.99,0.9801,90.83,0.29,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
18638,SNOWFLAKE,1.0,0.79,0.92,-0.21,0.21,0.0441,21.0,-0.08,0.08,0.0064,8.0,0.13,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
90228,SNOWFLAKE,2.0,1.83,1.7,-0.17,0.17,0.0289,8.5,-0.3,0.3,0.09,15.0,0.13,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
89303,SNOWFLAKE,2.0,1.86,1.92,-0.14,0.14,0.0196,7.0,-0.08,0.08,0.0064,4.0,0.06,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
9865,SNOWFLAKE,1.0,0.75,0.87,-0.25,0.25,0.0625,25.0,-0.13,0.13,0.0169,13.0,0.12,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
51097,SNOWFLAKE,2.0,1.91,2.27,-0.09,0.09,0.0081,4.5,0.27,0.27,0.0729,13.5,0.36,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
141521,SNOWFLAKE,0.25,0.5,0.5,0.25,0.25,0.0625,100.0,0.25,0.25,0.0625,100.0,0.0,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
104792,SNOWFLAKE,1.0,0.84,0.92,-0.16,0.16,0.0256,16.0,-0.08,0.08,0.0064,8.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
144167,SNOWFLAKE,1.25,1.74,2.19,0.49,0.49,0.2401,39.2,0.94,0.94,0.8836,75.2,0.45,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
36844,SNOWFLAKE,2.0,1.91,2.27,-0.09,0.09,0.0081,4.5,0.27,0.27,0.0729,13.5,0.36,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
