TAREFA_ID,HORAS_REAIS,PREVISAO_SKLEARN,PREVISAO_SKLEARN_RESTRICTED,PREVISAO_NUMPY,ACERTO_SKLEARN (10%),ACERTO_SK_RESTRICTED (10%),ACERTO_NUMPY (10%)
125885,1.0,0.89,1.03,0.88,False,True,False
55948,1.0,0.89,1.03,0.88,False,True,False
84475,1.0,0.85,0.93,0.89,False,True,False
95747,2.0,1.36,1.05,1.18,False,False,False
94629,1.0,0.85,0.93,0.89,False,True,False
121075,8.0,7.28,7.02,6.39,True,False,False
27738,0.5,0.9,0.94,0.97,False,False,False
63171,2.0,1.8,1.9,1.54,False,True,False
76262,1.0,0.89,1.03,0.88,False,True,False
22769,1.3,1.7,1.77,1.5,False,False,False
135733,1.0,0.85,0.93,0.89,False,True,False
102809,14.0,12.02,12.46,10.4,False,False,False
144503,4.0,3.46,3.9,2.15,False,True,False
99206,1.0,0.83,1.14,0.77,False,False,False
529,5.0,5.74,5.79,5.15,False,False,True
125749,1.0,0.85,0.93,0.89,False,True,False
3464,4.93,4.27,4.24,3.52,False,False,False
83382,8.0,7.2,6.97,6.34,True,False,False
14486,0.6,0.85,0.93,0.89,False,False,False
71378,4.0,3.52,3.61,3.29,False,True,False
142905,0.25,0.5,0.66,0.88,False,False,False
19369,0.5,0.85,0.93,0.89,False,False,False
68400,1.0,0.85,0.93,0.89,False,True,False
52288,4.0,3.61,3.37,3.4,True,False,False
48216,1.0,0.85,0.93,0.89,False,True,False
132129,1.0,0.85,0.93,0.89,False,True,False
18029,4.0,7.05,7.04,6.11,False,False,False
157412,0.0,0.58,0.5,0.56,False,False,False
9300,1.0,0.85,0.93,0.89,False,True,False
118106,1.0,0.89,1.03,0.88,False,True,False
351,1.5,2.58,3.07,2.96,False,False,False
93575,1.0,0.88,1.16,0.77,False,False,False
152818,8.0,7.22,7.16,6.42,True,False,False
146767,0.25,0.61,0.53,0.79,False,False,False
78709,2.0,1.66,1.73,1.55,False,False,False
2714,0.75,0.99,0.92,0.84,False,False,False
26944,1.0,0.78,0.98,0.81,False,True,False
138244,2.0,1.19,1.28,0.66,False,False,False
47547,1.0,1.74,1.79,1.48,False,False,False
40371,1.0,1.68,1.79,1.54,False,False,False
83537,1.0,0.85,0.93,0.89,False,True,False
15305,24.0,20.59,21.83,16.53,False,True,False
159745,1.0,0.71,1.29,1.28,False,False,False
50210,1.0,0.84,0.93,0.89,False,True,False
149226,16.0,15.83,14.14,10.25,True,False,False
152463,0.5,0.55,0.75,0.88,False,False,False
146942,6.9,6.25,7.56,4.88,True,True,False
79766,1.0,0.91,0.88,0.54,True,False,False
47622,5.64,5.3,5.74,4.22,True,True,False
138786,1.0,0.89,0.85,0.9,False,False,True
87318,1.0,0.85,0.93,0.89,False,True,False
2432,5.91,5.51,5.91,5.64,True,True,True
49427,16.0,18.6,19.23,14.72,False,False,True
88695,1.0,0.5,0.58,0.88,False,False,False
143345,1.0,1.0,1.17,1.14,True,False,False
129290,4.0,3.66,3.89,3.26,True,True,False
102933,1.0,0.85,0.93,0.89,False,True,False
97951,1.0,0.8,1.14,0.89,False,False,False
56811,1.0,0.87,0.94,0.87,False,True,False
19025,1.0,0.9,0.97,0.83,True,True,False
48223,1.0,0.89,1.03,0.88,False,True,False
131780,48.0,26.38,24.88,25.41,False,False,False
35986,1.0,0.85,0.93,0.89,False,True,False
141949,0.67,1.7,1.76,1.5,False,False,False
90597,2.0,1.48,2.1,1.1,False,True,False
133200,1.0,0.85,0.93,0.89,False,True,False
150730,0.25,0.5,0.77,0.84,False,False,False
153498,1.0,1.09,1.67,1.45,True,False,False
39229,1.0,0.89,1.03,0.88,False,True,False
119345,1.0,0.83,0.93,0.89,False,True,False
77300,1.0,0.85,0.93,0.89,False,True,False
81846,4.0,3.53,3.61,3.29,False,True,False
127552,1.0,0.85,0.93,0.89,False,True,False
118408,8.0,7.28,7.02,6.39,True,False,False
21713,0.5,0.85,1.13,0.89,False,False,False
145824,4.0,3.79,3.89,2.19,True,True,False
35889,12.0,11.37,11.04,10.56,True,True,False
52121,1.0,0.76,1.06,0.85,False,True,False
82575,2.0,0.5,0.58,0.87,False,False,False
142918,0.5,1.06,0.95,0.94,False,False,False
123773,1.0,0.5,1.36,2.12,False,False,False
30949,0.5,0.89,0.95,0.5,False,False,True
92033,1.0,0.98,1.52,1.13,True,False,False
45986,1.0,0.94,0.95,1.04,True,True,True
116911,1.0,0.95,1.1,0.95,True,True,True
7686,2.0,0.5,0.7,0.88,False,False,False
80626,1.0,0.66,0.91,0.91,False,True,True
40330,2.0,1.41,1.47,1.12,False,False,False
63413,1.66,0.5,0.5,0.78,False,False,False
37862,4.0,3.52,3.32,3.35,False,False,False
33795,0.5,0.88,0.94,0.87,False,False,False
89815,1.0,3.71,3.76,3.17,False,False,False
146037,4.0,3.61,3.37,3.4,True,False,False
37133,2.0,3.5,3.66,3.21,False,False,False
