TAREFA_ID,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,DIFERENCA_MODELOS
TASK-1000,2.84,7.02,4.18
TASK-1001,3.96,12.37,8.41
TASK-1002,2.7,18.78,16.08
TASK-1003,30.38,19.89,10.49
TASK-1004,20.52,20.06,0.46
TASK-1005,6.07,11.38,5.31
TASK-1006,13.51,1.4,12.11
TASK-1007,3.12,11.97,8.85
TASK-1008,31.12,36.58,5.46
TASK-1009,26.04,45.01,18.97
TASK-1010,28.31,63.64,35.33
TASK-1011,3.01,4.14,1.13
TASK-1012,3.09,19.07,15.98
TASK-1013,27.84,32.93,5.09
TASK-1014,3.37,17.65,14.28
TASK-1015,20.75,29.57,8.82
TASK-1016,17.39,37.93,20.54
TASK-1017,3.06,18.99,15.93
TASK-1018,31.04,57.48,26.44
TASK-1019,3.06,20.82,17.76
TASK-1020,30.02,70.58,40.56
TASK-1021,23.54,23.08,0.46
TASK-1022,21.28,52.98,31.7
TASK-1023,3.04,19.3,16.26
TASK-1024,38.87,51.64,12.77
TASK-1025,3.57,16.85,13.28
TASK-1026,3.22,14.83,11.61
TASK-1027,35.83,65.31,29.48
TASK-1028,2.86,12.89,10.03
TASK-1029,13.5,22.4,8.9
TASK-1030,3.38,15.12,11.74
TASK-1031,16.62,18.09,1.47
TASK-1032,3.02,14.03,11.01
TASK-1033,3.97,16.89,12.92
TASK-1034,3.77,13.62,9.85
TASK-1035,27.12,40.82,13.7
TASK-1036,3.0,13.8,10.8
TASK-1037,27.22,38.04,10.82
TASK-1038,3.25,8.89,5.64
TASK-1039,3.72,6.88,3.16
TASK-1040,3.2,15.25,12.05
TASK-1041,3.05,21.12,18.07
TASK-1042,2.93,13.4,10.47
TASK-1043,3.85,8.15,4.3
TASK-1044,10.53,4.46,6.07
TASK-1045,15.35,24.43,9.08
TASK-1046,3.36,18.57,15.21
TASK-1047,4.11,9.47,5.36
TASK-1048,24.8,35.9,11.1
TASK-1049,27.8,58.67,30.87
TASK-1050,14.6,10.22,4.38
TASK-1051,3.25,21.25,18.0
TASK-1052,25.83,50.08,24.25
TASK-1053,9.06,10.41,1.35
TASK-1054,3.81,14.81,11.0
TASK-1055,40.8,45.08,4.28
TASK-1056,36.15,60.73,24.58
TASK-1057,37.52,70.93,33.41
TASK-1058,18.52,23.11,4.59
TASK-1059,3.81,15.45,11.64
TASK-1060,13.1,15.83,2.73
TASK-1061,3.46,22.67,19.21
TASK-1062,3.51,15.29,11.78
TASK-1063,29.79,68.51,38.72
TASK-1064,3.73,14.96,11.23
TASK-1065,2.82,19.13,16.31
TASK-1066,30.23,67.37,37.14
TASK-1067,33.97,56.46,22.49
TASK-1068,24.25,41.9,17.65
TASK-1069,3.74,14.66,10.92
TASK-1070,4.45,7.03,2.58
TASK-1071,2.77,19.38,16.61
TASK-1072,17.13,27.62,10.49
TASK-1073,21.54,44.84,23.3
TASK-1074,2.84,16.57,13.73
TASK-1075,4.33,12.05,7.72
TASK-1076,3.33,7.76,4.43
TASK-1077,28.97,49.01,20.04
TASK-1078,4.32,13.92,9.6
TASK-1079,3.27,10.83,7.56
TASK-1080,3.5,9.02,5.52
TASK-1081,26.53,35.74,9.21
TASK-1082,15.32,27.73,12.41
TASK-1083,23.45,37.44,13.99
TASK-1084,7.83,61.76,53.93
TASK-1085,34.36,72.03,37.67
TASK-1086,3.82,18.1,14.28
TASK-1087,26.4,61.42,35.02
TASK-1088,29.03,51.71,22.68
TASK-1089,5.35,56.44,51.09
TASK-1090,40.34,64.21,23.87
TASK-1091,3.18,13.02,9.84
TASK-1092,23.62,43.81,20.19
TASK-1093,15.84,32.78,16.94
TASK-1094,9.73,27.51,17.78
TASK-1095,22.58,14.37,8.21
TASK-1096,22.94,34.5,11.56
TASK-1097,21.24,27.67,6.43
TASK-1098,37.62,74.5,36.88
TASK-1099,35.65,60.39,24.74
